time_s,force
6.729,0.1398
6.73,0.3801
6.731,0.3074
6.732,0.0625
6.733,-0.0001
6.734,0.1909
6.735,0.6038
6.736,1.0437
6.737,1.5361
6.738,1.7395
6.739,2.0507
6.74,1.8671
6.741,1.9284
6.742,1.9313
6.743,2.3639
6.744,2.7694
6.745,3.2572
6.746,3.4369
6.747,3.7158
6.748,3.7585
6.749,3.7364
6.75,3.9854
6.751,4.0873
6.752,4.5426
6.753,4.9098
6.754,5.041
6.755,5.0169
6.756,5.2606
6.757,5.2598
6.758,5.4355
6.759,5.3148
6.76,5.6535
6.761,5.9798
6.762,6.3898
6.763,6.4765
6.764,6.429
6.765,6.3075
6.766,6.3541
6.767,6.4729
6.768,6.8841
6.769,7.1565
6.77,7.342
6.771,7.4214
6.772,7.431
6.773,7.2881
6.774,7.157
6.775,7.331
6.776,7.6596
6.777,8.0645
6.778,7.9727
6.779,7.8902
6.78,7.6502
6.781,7.7123
6.782,7.786
6.783,8.0378
6.784,8.4019
6.785,8.5073
6.786,8.4688
6.787,8.3446
6.788,8.3312
6.789,8.1222
6.79,8.1196
6.791,8.0465
6.792,8.2786
6.793,8.478
6.794,8.7232
6.795,8.7815
6.796,8.6549
6.797,8.4938
6.798,8.4243
6.799,8.6533
6.8,8.8674
6.801,8.9909
6.802,9.0941
6.803,9.0025
6.804,8.5922
6.805,8.4822
6.806,8.6988
6.807,8.9237
6.808,9.0176
6.809,9.0965
6.81,9.0657
6.811,8.9573
6.812,8.7337
6.813,8.8701
6.814,8.9155
6.815,9.0398
6.816,9.2759
6.817,9.3393
6.818,9.562
6.819,9.2692
6.82,9.1465
6.821,8.6836
6.822,8.7738
6.823,8.6888
6.824,9.0395
6.825,9.6221
6.826,10.1594
6.827,10.1323
6.828,9.5664
6.829,9.2507
6.83,9.0177
6.831,9.1758
6.832,9.6483
6.833,9.6784
6.834,9.8731
6.835,9.7635
6.836,9.2428
6.837,8.9303
6.838,8.665
6.839,8.9311
6.84,9.1868
6.841,9.4048
6.842,9.6815
6.843,9.5212
6.844,9.4944
6.845,9.318
6.846,9.0952
6.847,8.971
6.848,9.3323
6.849,9.3102
6.85,9.5358
6.851,9.5699
6.852,9.4568
6.853,9.2503
6.854,9.0249
6.855,9.1651
6.856,9.3418
6.857,9.6388
6.858,9.6757
6.859,9.568
6.86,9.3652
